"last_name, first_name","player_id","year","p_formatted_ip","k_percent","bb_percent","woba","xwoba","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","ff_avg_speed","ff_avg_break_z","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","st_avg_speed","st_avg_break_x","st_avg_break_z","sv_avg_speed","sv_avg_break_x","sv_avg_break_z"
"Littell, Zack",641793,2024,"156.1",21.5,4.7,".317",".321",9.6,39.2,"78.590295546","94.137344568",23.1,51.9,"92.4","-15.2","86.6","2.5","-29.4",,,,,,,,"91.6","-14.8","-19.3",,,,"83","-8.7","-38.6","79.5","14.2","-47.2",,,
"Lugo, Seth",607625,2024,"206.2",21.7,5.7,".278",".300",8,39,"77.299278949","93.994017356",22.5,46.7,"92.2","-16.6","86.7","4.2","-31.5","87.4","1856","-14.9","-31.3","79.8","14.6","-58","92.1","-15.3","-23.7","90.1","0.4","-21.8","85.8","-10.7","-32.4","81.7","14.1","-38.7","78.7","17.8","-52.1"
"Flexen, Chris",623167,2024,"160.0",17.4,8.9,".355",".333",8.1,37.4,"77.948608016","93.935523035",22.7,46,"91.3","-14.6","80.1","11","-45.8","81.3","1319","-11.7","-31.4","72","7.2","-69.1","91.9","-10.1","-10.6","87.4","7.6","-28",,,,,,,,,
"Singer, Brady",663903,2024,"179.2",22.3,7.1,".316",".331",8,41.7,"77.275001577","94.431135896",25.1,44.7,"91.7","-18.8","83","4.5","-40.5","88.1","2077","-14.7","-29.5",,,,"92.2","-14.3","-22.5","82.8","8.6","-30.9",,,,"82.1","10.7","-37.9",,,
"Gil, Luis",661563,2024,"151.2",26.8,12.1,".288",".302",9.5,37.4,"78.931048895","94.034939077",29,45.5,"96.6","-12.2","87.5","5.7","-28.9","91.6","1721","-15.1","-27.5",,,,"97.7","-5.2","-11.3",,,,,,,,,,,,
"Peralta, Freddy",642547,2024,"173.2",27.6,9.4,".305",".305",8.7,36.9,"75.95026724","93.640809751",31.1,46.9,"94.3","-14.2","81.5","7.6","-39.1","87.7","1731","-15.5","-31.3","78.1","4.6","-49.7","95.3","-5","-13.6",,,,,,,,,,,,
"Pérez, Martín",527048,2024,"135.0",18.1,8.3,".351",".353",8.6,41.5,"76.89241338","94.749829061",21,46,"91.5","-17.6","82.8","-2.8","-33.6","83.4","1672","14.4","-31.3","77.9","-3.5","-49.3","90.7","16","-23.3","87.9","0.8","-23",,,,,,,,,
"Lynn, Lance",458681,2024,"117.1",21.3,8.6,".314",".340",10.5,39.3,"77.577234686","94.259379457",24.1,48.4,"92.3","-19",,,,"84.8","1761","-13.9","-30.9","80.4","6.7","-50.9","91.1","-12.8","-24.8","88.1","1.7","-29.6",,,,"82","14.6","-41.2",,,
"Castillo, Luis",622491,2024,"175.1",24.3,6.5,".305",".306",8.5,41.9,"78.938131564","94.546516728",25.9,50.6,"95.6","-17.8","85.7","0.9","-36.3","88.1","1894","-17.2","-35.4",,,,"95.6","-18.3","-26",,,,,,,,,,,,
"Stone, Gavin",694813,2024,"140.1",20,6.4,".304",".307",6.4,36.2,"77.107440095","93.702925548",24.7,50.5,"94.9","-14","88.8","2.4","-33.6","87.5","1665","-13.8","-30.2","83.3","2.7","-45.6","95.3","-14.7","-17.9","92.3","-1.6","-20.5",,,,"87.7","8.6","-36",,,
"Lorenzen, Michael",547179,2024,"130.1",18.1,11,".303",".329",8,39.4,"76.902993817","94.185249946",22.8,44.7,"93.8","-15.5","85.2","3.6","-39.5","84.6","2020","-15.6","-29.2","81.7","4","-54.7","93.6","-16.1","-21.4","90.1","0.2","-25.7",,,,"82","13.2","-41",,,
"Mikolas, Miles",571945,2024,"171.2",16.9,3.5,".339",".331",8.1,42.3,"77.511449435","94.25374515",16.4,49.8,"93.2","-17.7","86.5","3.3","-33.3","85.6","1676","-14.2","-30.8","76.3","7.9","-61.5","92.4","-13.8","-22.6",,,,,,,"80.8","12.5","-43.6",,,
"Cannon, Jonathan",686563,2024,"124.1",17.4,7.7,".332",".322",7.3,36.3,"78.719188912","93.823911325",21.8,47.1,"94.3","-16.8",,,,"85.7","1710","-13.9","-36.7",,,,"93.3","-15.4","-26.8","90.2","-1.7","-25.4",,,,"81.9","12.5","-38.2",,,
"Assad, Javier",665871,2024,"147.0",19.4,9.9,".330",".340",8.8,39.8,"78.304060092","94.272452936",17.9,42.5,"91.5","-16.2","81.1","7.2","-42.5","83.7","1434","-12.7","-30.8","76.8","11.1","-56.4","91.4","-13.6","-21.7","87.9","3.6","-26.7",,,,"79.9","15","-42.9",,,
"Arrighetti, Spencer",681293,2024,"145.0",27.1,10.3,".332",".311",7.7,39.8,"77.934348615","94.124621851",27.7,47.2,"94.1","-15.7","82.9","6.2","-30.5","85.5","1675","-15","-32.6","78.4","14.6","-53.6","94.1","-15.7","-18.9","88.1","3.2","-27",,,,"80.8","14.7","-40.5",,,
"Kirby, George",669923,2024,"191.0",23,3,".287",".288",8.1,36.3,"78.774593274","93.753520357",24.1,53.4,"96","-14","87.2","7.7","-38.3",,,,,"83.4","8.6","-53.7","96","-15.8","-18.2","92.6","0","-23.5","86","-9.6","-35.6",,,,,,
"Taillon, Jameson",592791,2024,"165.1",18.5,4.9,".289",".311",7.2,38.8,"79.650003386","94.067909961",19.5,48.2,"92.3","-15.9",,,,"86","1899","-14.2","-27","79.6","9.9","-54.1","92.5","-12.8","-18.2","86.5","5.5","-28.1",,,,"80.4","15.7","-42",,,
"Ortiz, Luis",682847,2024,"135.2",19.2,7.6,".287",".320",8.8,37.7,"78.240775528","94.10121864",21,48.1,"95.9","-18.4","85.8","6.6","-34.8","90.6","1764","-16","-28.8",,,,"94.9","-15.7","-27.2","90.9","0.6","-25.5",,,,,,,,,
"Greene, Hunter",668881,2024,"150.1",27.7,9.3,".265",".271",5.2,32.5,"76.321243094","93.167150497",29.7,50.6,"97.6","-12.2","86.8","6.1","-32.3",,,,,"81.1","11.5","-42","100","-11.6","-13",,,,"87","-9.1","-31.7",,,,,,
"Flaherty, Jack",656427,2024,"162.0",29.9,5.9,".288",".292",7.7,35.9,"77.445862362","93.776478992",32.1,46.2,"93.3","-15.9","84.7","6.7","-35.9","85.7","1610","-12.1","-32.1","77.4","13.3","-54.5","90.3","-10.9","-25",,,,,,,,,,,,
"Nelson, Ryne",669194,2024,"150.2",20,5.4,".322",".315",7.5,41.6,"79.83287319","94.487586272",18.2,51.8,"95.2","-11.9","84.2","5.5","-40.3","83","1960","-15.2","-29.8","77.8","9.2","-53.2",,,,"91.2","1.2","-24.4",,,,"82.3","11.5","-40.3",,,
"Eovaldi, Nathan",543135,2024,"170.2",23.9,6,".291",".306",7.7,42.6,"77.906442017","94.485768718",26.8,52.2,"95.4","-18.5","86","5.1","-34.6",,,,,"76.7","9.2","-54.1",,,,"91.3","0.8","-24","88.4","-13.5","-34.6",,,,,,
"Gausman, Kevin",592332,2024,"181.0",21.4,7.4,".300",".333",9.7,42.4,"79.496181832","94.740771683",23.4,49.9,"94","-14.2","82.7","1.3","-36.2",,,,,,,,"93.3","-15.6","-19",,,,"86","-15.9","-30.9",,,,,,
"Pivetta, Nick",601713,2024,"145.2",28.9,6.1,".306",".291",10.1,38.9,"79.225758698","93.96201671",25.6,50.3,"93.9","-11.2","83.9","3.7","-43.9",,,,,"80","7.8","-58.2","92.7","-5.6","-11.2","88.3","4.6","-28.3",,,,"82.4","13.6","-36.4",,,
"Blanco, Ronel",669854,2024,"167.1",24.6,10.1,".276",".309",9.3,35.5,"78.14814367","93.702377385",29,48.6,"93.4","-12.9","86.4","2.2","-28.8","85.2","1485","-13.4","-32.5","80.1","9.5","-44.3",,,,,,,,,,,,,,,
"Steele, Justin",657006,2024,"134.2",24.3,6.7,".271",".258",4.2,33.2,"75.731326576","93.083319918",23.7,51.5,"91.6","-19.2","83.3","-12.3","-38.7","86.2","1636","12.3","-28.9","79.9","-10.7","-51","91.5","12.4","-22.8",,,,,,,,,,,,
"Gallen, Zac",668678,2024,"148.0",25.1,8.7,".301",".308",7.4,41,"79.81895601","94.40298237",26,44.2,"93.7","-14.3","86.9","5.4","-33.1","86.6","1533","-11.8","-31.4","81","4.8","-52.9","93.6","-2.7","-13.1","90.3","3.5","-23.9",,,,,,,,,
